940GZZLUSWK;Southwark Underground Station;51.50398;-0.104935
940GZZLUNWH;Northwood Hills Underground Station;51.60057;-0.409453
910GLIVST;London Liverpool Street Rail Station;51.517996;-0.08142
910GHACKNYC;Hackney Central Rail Station;51.54711;-0.056051
940GZZLUCHL;Chancery Lane Underground Station;51.518251;-0.111578
940GZZLULSQ;Leicester Square Underground Station;51.51139;-0.128421
910GSTMFDHL;Stamford Hill Rail Station;51.574474;-0.076676
940GZZLUKWG;Kew Gardens Underground Station;51.477062;-0.285242
940GZZDLBLA;Blackwall DLR Station;51.507995;-0.006961
940GZZLUMRH;Manor House Underground Station;51.570744;-0.096113
910GSTFD;Stratford (London) Rail Station;51.5419;-0.003389
940GZZLUWYC;Wembley Central Underground Station;51.55231;-0.296852
940GZZLUECM;Ealing Common Underground Station;51.510145;-0.288265
940GZZDLLCA;London City Airport DLR Station;51.503419;0.048749
940GZZLUSEA;South Ealing Underground Station;51.501008;-0.307425
940GZZLUWOG;Wood Green Underground Station;51.597486;-0.109881
910GHAGGERS;Haggerston Rail Station;51.538711;-0.075661
940GZZLUHAI;Highbury & Islington Underground Station;51.546355;-0.103319
940GZZLUMGT;Moorgate Underground Station;51.51818;-0.088317
910GDENMRKH;Denmark Hill Rail Station;51.468206;-0.089356
940GZZLUCYD;Chorleywood Underground Station;51.654359;-0.518453
940GZZLUWSP;Westbourne Park Underground Station;51.521115;-0.201063
940GZZDLSHS;Stratford High Street DLR Station;51.538201;-0.00107
940GZZLUCWL;Chigwell Underground Station;51.617923;0.075051
940GZZLUBKH;Buckhurst Hill Underground Station;51.626612;0.046767
940GZZLUSPU;St. Paul's Underground Station;51.51494;-0.097562
940GZZLUNAN;North Acton Underground Station;51.523529;-0.259754
910GSACTON;South Acton Rail Station;51.4997;-0.270157
940GZZLUOXC;Oxford Circus Underground Station;51.515228;-0.141899
940GZZLUKSX;King's Cross St. Pancras Underground Station;51.530668;-0.12319
910GBRUCGRV;Bruce Grove Rail Station;51.593966;-0.069861
940GZZLUBKG;Barking Underground Station;51.539326;0.081064
910GSTOTNHM;South Tottenham Rail Station;51.580379;-0.072096
940GZZLUGPS;Great Portland Street Underground Station;51.523845;-0.144258
910GBARKING;Barking Rail Station;51.5395;0.080913
910GGOSPLOK;Gospel Oak Rail Station;51.555341;-0.150766
940GZZLUKEN;Kenton Underground Station;51.581763;-0.316911
940GZZLUHGR;Hanger Lane Underground Station;51.530182;-0.292704
940GZZDLBPK;Beckton Park DLR Station;51.508797;0.054942
940GZZLUEPK;Elm Park Underground Station;51.54978;0.198654
940GZZLUSFS;Southfields Underground Station;51.445076;-0.2066
910GANERLEY;Anerley Rail Station;51.412155;-0.06588
910GSTJMSST;St James Street (London) Rail Station;51.580987;-0.032911
940GZZLUNHT;Northolt Underground Station;51.548242;-0.368702
940GZZLULNB;London Bridge Underground Station;51.505725;-0.088867
940GZZLUHWC;Hounslow Central Underground Station;51.471299;-0.366581
940GZZLUMYB;Marylebone Underground Station;51.522327;-0.163204
910GHOMRTON;Homerton Rail Station;51.547017;-0.042353
910GWHMDSTD;West Hampstead Rail Station;51.547473;-0.191182
940GZZLUSVS;Seven Sisters Underground Station;51.583336;-0.072577
910GLYTNSHR;Leytonstone High Road Rail Station;51.56356;0.008425
940GZZLUHPC;Hyde Park Corner Underground Station;51.503039;-0.152438
940GZZLUBWR;Bow Road Underground Station;51.526944;-0.025121
940GZZLUMSH;Mansion House Underground Station;51.512122;-0.094004
910GWNDSWRD;Wandsworth Road Rail Station;51.47022;-0.138516
910GWBRMPTN;West Brompton Rail Station;51.487065;-0.19559
940GZZLUNDN;Neasden Underground Station;51.553992;-0.249836
910GWCROYDN;West Croydon Rail Station;51.378428;-0.102581
940GZZLUHSD;Hammersmith (Dist&Picc Line) Underground Station;51.492304;-0.223619
940GZZLUCAR;Caledonian Road Underground Station;51.548524;-0.118489
940GZZLUEMB;Embankment Underground Station;51.507062;-0.122662
940GZZLUSUH;Sudbury Hill Underground Station;51.556952;-0.336437
910GKTON;Kenton Rail Station;51.581809;-0.316981
940GZZLUPKR;Park Royal Underground Station;51.527129;-0.284341
940GZZLUBMY;Bermondsey Underground Station;51.497957;-0.063762
940GZZDLCYP;Cyprus DLR Station;51.508477;0.063934
940GZZLUKNB;Knightsbridge Underground Station;51.501673;-0.160504
910GHACKNYW;Hackney Wick Rail Station;51.543416;-0.024912
910GPENEW;Penge West Rail Station;51.417557;-0.060834
910GNEWXGTE;New Cross Gate Rail Station;51.475132;-0.040392
940GZZLULBN;Lambeth North Underground Station;51.498812;-0.11231
910GFNCHLYR;Finchley Road & Frognal Rail Station;51.550272;-0.183138
940GZZLUDOH;Dollis Hill Underground Station;51.551961;-0.239066
910GSBURY;Southbury Rail Station;51.648713;-0.05243
910GHRGYGL;Harringay Green Lanes Rail Station;51.577189;-0.098138
940GZZLUWLA;Wood Lane Underground Station;51.509674;-0.224528
940GZZLUCWP;Chiswick Park Underground Station;51.494632;-0.267972
940GZZLUICK;Ickenham Underground Station;51.561989;-0.441991
910GKENOLYM;Kensington (Olympia) Rail Station;51.497903;-0.210362
940GZZLUCWR;Canada Water Underground Station;51.497949;-0.049715
940GZZLUNGW;North Greenwich Underground Station;51.500474;0.004295
940GZZLUOSY;Osterley Underground Station;51.481278;-0.352226
910GSTKNWNG;Stoke Newington Rail Station;51.565239;-0.072881
910GEDMNGRN;Edmonton Green Rail Station;51.624936;-0.061106
940GZZLUUXB;Uxbridge Underground Station;51.546563;-0.47794
910GLONFLDS;London Fields Rail Station;51.541158;-0.057747
940GZZLUSTD;Stratford Underground Station;51.541811;-0.00345
940GZZLUWIM;Wimbledon Underground Station;51.421209;-0.206571
910GBRBYPK;Brondesbury Park Rail Station;51.540705;-0.210125
910GWCHAPEL;Whitechapel Rail Station;51.519474;-0.059751
940GZZLUGPK;Green Park Underground Station;51.506951;-0.142783
910GRICHMND;Richmond (London) Rail Station;51.463064;-0.301559
940GZZDLPUD;Pudding Mill Lane DLR Station;51.534307;-0.012747
940GZZLUKBY;Kingsbury Underground Station;51.584852;-0.27879
940GZZLUNFD;Northfields Underground Station;51.499324;-0.31472
910GNWCRELL;New Cross ELL Rail Station;51.476347;-0.032434
940GZZLUDBN;Debden Underground Station;51.645394;0.083793
910GBLCHSRD;Blackhorse Road Rail Station;51.586612;-0.041228
940GZZLUMBA;Marble Arch Underground Station;51.513429;-0.15895
940GZZLUNWY;North Wembley Underground Station;51.562558;-0.304
940GZZLUKSL;Kensal Green Underground Station;51.530544;-0.225014
940GZZLUGHK;Goldhawk Road Underground Station;51.502009;-0.226714
940GZZLUGGH;Grange Hill Underground Station;51.613385;0.092077
910GHGHI;Highbury & Islington Rail Station;51.546183;-0.103758
940GZZDLWHM;West Ham DLR Station;51.527899;0.00449
940GZZLUGBY;Gunnersbury Underground Station;51.491808;-0.275267
910GHROW;Harrow & Wealdstone Rail Station;51.592167;-0.334573
940GZZLUTWH;Tower Hill Underground Station;51.509975;-0.07654
940GZZLUDGE;Dagenham East Underground Station;51.544101;0.166029
910GCAMHTH;Cambridge Heath (London) Rail Station;51.531978;-0.057273
910GCLDNNRB;Caledonian Road & Barnsbury Rail Station;51.543046;-0.116724
